"","date","eventId","selection","home","away","toverByPrice","turnover","APL"
"81","02/04/2017",4414290,"Swansea","Swansea","Middlesbrough",33864.110524958,17673.94,1.91604761162242
"82","02/10/2016",4413732,"Draw","Manchester Utd","Stoke",12282.508,2274.28,5.40061382063774
"83","02/10/2016",4413732,"Manchester Utd","Manchester Utd","Stoke",28872.9586,21848.58,1.32150275212394
"84","02/10/2016",4413732,"Stoke","Manchester Utd","Stoke",37279.1,3148.52,11.8401979342675
"85","02/10/2016",4413741,"Draw","Leicester","Southampton",9357.236,2797.5,3.34485647899911
"86","02/10/2016",4413741,"Leicester","Leicester","Southampton",47696.1026,19674.18,2.42429939138505
"87","02/10/2016",4413741,"Southampton","Leicester","Southampton",5322.52,1614.08,3.29755650277557
"88","02/10/2016",4413756,"Arsenal","Burnley","Arsenal",9378.4054,6825.26,1.37407298769571
"89","02/10/2016",4413756,"Burnley","Burnley","Arsenal",91579.42,9555.42,9.58402875017529
"90","02/10/2016",4413756,"Draw","Burnley","Arsenal",36955.259,7229.16,5.11197137703412
"91","02/10/2016",4413907,"Draw","Tottenham","Manchester City",364383.816,105212.18,3.46332350494021
"92","02/10/2016",4413907,"Manchester City","Tottenham","Manchester City",112805.9722,47708.28,2.36449463698964
"93","02/10/2016",4413907,"Tottenham","Tottenham","Manchester City",753962.1586,243531.88,3.09594850004854
"94","03/01/2017",4413949,"Draw","Stoke","Watford",3093.292,876.86,3.52769199188012
"95","03/01/2017",4413949,"Stoke","Stoke","Watford",84222.6944,46819.4,1.79888453077143
"96","03/01/2017",4413949,"Watford","Stoke","Watford",21919.4082,4417.4,4.96206098610042
"97","03/01/2017",4413968,"Crystal Palace","Crystal Palace","Swansea",141471.866,76767.1,1.84287104762327
"98","03/01/2017",4413968,"Draw","Crystal Palace","Swansea",29090.86,7762.68,3.74752791561677
"99","03/01/2017",4413968,"Swansea","Crystal Palace","Swansea",10766.8828,2362.66,4.55710207985914
"100","03/01/2017",4413992,"Arsenal","Bournemouth","Arsenal",265302.979,152609.26,1.73844614016214
"101","03/01/2017",4413992,"Bournemouth","Bournemouth","Arsenal",20630.0664,4266.5,4.8353606937771
"102","03/01/2017",4413992,"Draw","Bournemouth","Arsenal",68013.556,16764.96,4.05688746051288
"103","03/12/2016",4414038,"Draw","West Brom","Watford",3815.342,1178.08,3.23861028113541
"104","03/12/2016",4414038,"Watford","West Brom","Watford",1512.15,397.24,3.80664082166952
"105","03/12/2016",4414038,"West Brom","West Brom","Watford",27776.69,13061.34,2.12663402070538
"106","03/12/2016",4414074,"Chelsea","Manchester City","Chelsea",56551.541,16777.04,3.37076987358914
"107","03/12/2016",4414074,"Draw","Manchester City","Chelsea",175858.733,48996.96,3.5891764101283
"108","03/12/2016",4414074,"Manchester City","Manchester City","Chelsea",75243.329,34529.82,2.17908257268645
"109","03/12/2016",4414131,"Burnley","Stoke","Burnley",13924.505,2336.72,5.95899594303126
"110","03/12/2016",4414131,"Draw","Stoke","Burnley",2480.726,622.48,3.98523004755173
"111","03/12/2016",4414131,"Stoke","Stoke","Burnley",13738.629,8477.12,1.62067176116417
"112","03/12/2016",4414164,"Draw","Sunderland","Leicester",17393.497,5032.12,3.45649487691073
"113","03/12/2016",4414164,"Leicester","Sunderland","Leicester",11961.6946,5202.4,2.29926468552976
"114","03/12/2016",4414164,"Sunderland","Sunderland","Leicester",9527.256,2803.64,3.39817380262801
"115","03/12/2016",4414258,"Draw","Tottenham","Swansea",4476.674,855.64,5.2319597026787
"116","03/12/2016",4414258,"Swansea","Tottenham","Swansea",7518.41,838.18,8.9699229282493
"117","03/12/2016",4414258,"Tottenham","Tottenham","Swansea",25459.4206,18799.66,1.35424899173708
